"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.CYP.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Cyprus","36.4","27.3","26.0","27.2","32.3","54.8","17.6","14.9","53.5","11.7","20.777398","29.358126","43.516731","64.035429","31.780597","53.355352","47.385044","67.465725","72.00249","59.387366","65.483342","72.712019","53.082582","58.860309"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.FRA.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","France","30984.3","29030.8","29902.4","32619.3","34774.3","38088.6","42498.1","44904.9","34670.8","39256.7","40104.889809","41796.970269","45832.089416","47007.963134","47761.444659","46838.302674","49022.281496","52615.166214","57660.448134","43009.080715","50410.138259","57575.894253","57765.058952","60004.870729"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.LBY.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Libya","","","","345.9","1657.1","2629.4","3540.3","4349.9","1981.5","2186.8","645.010462","2493.042856","2558.215497","224.801161","155.094525","223.527315","1372.032757","1405.450014","1502.633645","215.416133","2168.246189","2204.083344","1536.174943","1465.562558"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.ITA.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Italy","24953.5","25418.6","26665.1","29408.3","32418.9","34107.0","36471.2","37496.4","27280.1","29432.0","33979.09807","36969.926089","38715.138737","42122.495672","44014.568946","45216.807615","49885.944602","54677.406169","57248.706451","49448.298403","60997.706657","69074.751206","72942.324478","76366.488191"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.ARM.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Armenia, Republic of","34.3","31.8","38.7","47.7","46.8","48.0","34.0","43.5","79.1","78.9","92.578996","88.627517","101.310071","96.283701","62.527802","43.16195","67.888299","53.988247","55.104713","68.062727","88.000915","80.964228","132.634755","121.583116"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.IRQ.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Iraq","6297.7","3798.1","4913.1","9203.9","9647.2","12230.9","11893.9","23071.8","9719.3","12623.2","16959.778626","19265.352919","13305.738476","13827.035431","4352.595565","5965.052784","10754.301361","11872.371273","7025.133459","3099.785175","3790.297655","10055.942917","8495.337744","7422.275381"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.TX399.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Western Hemisphere not specified","418.2","360.6","459.8","640.9","1044.1","1230.8","1217.4","1498.9","1130.5","921.1","979.949077","1057.862301","1227.864288","1491.909281","1230.809161","1581.521953","1656.288782","2130.956848","2051.914657","1296.019012","1827.482615","2528.197086","2341.133046","2313.027357"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.EST.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Estonia, Republic of","258.6","173.9","195.2","433.1","547.3","560.1","311.2","407.7","168.9","614.2","962.254679","506.541064","422.700808","562.554601","501.077216","1002.004523","604.412502","953.112034","999.645252","1071.986885","1914.014368","1372.256747","774.911859","1065.40398"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.LCA.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","St. Lucia","88.5","97.9","121.1","103.4","134.6","151.6","165.5","241.0","136.0","401.7","315.651418","376.957631","594.311705","693.801833","495.512307","402.767727","555.6186","590.419615","821.60194","621.018585","534.450152","899.887158","657.858562","1043.5999"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.IDN.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Indonesia","10907.1","10385.4","10271.3","11680.4","12946.6","14342.1","15208.2","16712.7","13650.9","17392.3","19110.896131","18002.185532","18873.695398","19360.892962","19575.322143","19203.412597","20205.135079","20824.53493","20104.615181","20198.16252","27046.504696","34544.618416","26806.556475","28084.737884"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.PRK.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Korea, Democratic People's Republic of","","","0.1","1.5","","","","","","","","","","","","","","","","","","0.029088","","0.057465"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.BHS.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Bahamas, The","328.3","477.8","500.0","667.4","726.3","475.4","523.2","626.5","844.9","815.3","764.809491","563.095391","598.974355","531.906293","452.758332","298.160249","458.652693","481.287539","410.863165","275.520146","449.028846","1721.336054","1825.256696","1792.373019"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.MDG.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Madagascar, Republic of","285.1","225.5","401.1","494.0","342.6","298.1","357.7","342.1","266.7","113.2","87.130577","109.876814","179.763551","215.676635","319.857104","444.93417","742.85718","891.363979","846.12883","613.760832","673.291811","913.027729","721.950495","733.215493"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.LAO.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Lao People's Democratic Republic","4.0","2.9","4.4","3.7","4.5","9.3","21.0","44.4","45.9","61.9","58.852777","25.043011","30.513983","32.920629","45.126242","54.9698","96.341553","141.900437","149.020166","106.628513","219.810988","273.607423","305.439399","803.320155"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.PAN.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Panama","311.9","320.6","318.7","335.6","349.2","404.8","391.2","401.9","322.0","400.6","389.380075","540.342228","448.745053","430.869995","408.115931","407.744631","442.493651","419.507037","439.561874","707.4923","755.379873","523.482931","527.130936","555.820472"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.TX598.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Asia not specified","57.1","48.7","60.0","37.2","35.3","28.4","36.0","41.5","44.1","31.2","33.25829","47.633169","41.317661","36.796448","54.896718","61.602421","17.279934","16.960796","7.838574","8.887863","8.460974","9.984797","18.608732","8.800875"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.SLV.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","El Salvador","1934.5","2038.4","2076.6","2112.2","2052.5","1919.0","2118.4","2308.7","1881.1","2282.0","2484.612208","2587.56348","2437.350911","2395.724499","2540.24569","2496.919485","2463.853548","2523.101498","2478.149522","1921.530537","2514.396324","2898.571606","2455.378477","2311.212791"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.AIA.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Anguilla, United Kingdom-British Overseas Territory","","","","","","","","","","","","","","","","0.710049","4.562085","5.06227","2.354955","1.580259","0.632204","5.717173","1.162212","1.190598"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.VUT.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Vanuatu","0.6","2.8","1.2","2.1","2.8","2.3","1.1","1.6","2.2","1.8","1.860207","2.596805","4.192881","7.124249","3.669995","5.595723","5.358379","7.058127","6.074134","5.118694","6.338408","6.714647","6.110534","13.667021"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.CMR.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Cameroon","184.1","155.8","90.8","99.6","117.2","120.0","133.0","125.1","153.7","132.4","220.567654","253.043417","335.737087","301.070473","220.875247","189.867274","158.87478","193.166874","200.038363","187.381786","148.755166","191.878326","214.90748","193.064344"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.AFG.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Afghanistan, Islamic Republic of","6.0","79.9","60.6","157.6","261.4","417.5","488.7","481.7","1511.5","2152.4","2921.861778","1521.555394","1409.638976","792.389357","499.749292","913.455559","942.232031","1227.404432","757.867567","673.351754","235.692791","21.850346","49.756045","11.446788"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.TWN.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Taiwan Province of China","34778.9","33519.5","33018.0","36210.8","36386.7","39797.0","39852.6","37747.5","29349.2","37219.8","41405.172281","38860.607154","37939.317125","40581.48512","40708.147563","39312.758425","42417.50962","45709.019959","54228.618282","60429.960756","77032.217094","91725.03025","87751.716497","116264.026887"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.BEL.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Belgium","10383.9","10067.1","10401.3","12812.2","13399.1","14789.9","15677.0","17762.6","14025.7","15899.2","17431.303419","17367.885511","19011.998198","20885.204358","19513.237722","17019.822296","14979.384464","17171.563356","20121.86534","21028.71878","21469.950432","26617.80143","23027.322589","27849.850475"
